x	y	occurrence	id	boat	elev	nit	phos	pop	land
-83.18932	42.04414	1	1	-0.8489010259509	-0.44581412800649645	NA	0.2648475520059478	0.5254573373415049	Open Water
-83.21353	42.044113	1	2	-1.0297353327926426	-0.44581412800649645	-0.7763795271252746	0.21489733801346758	0.47700222454511393	Open Water
-83.20233	42.0421	1	3	-0.8586040548163018	-0.41294569755039906	-0.6614239227942904	0.23154740934429432	-0.14464838702190985	Emergent Herbaceous Wetlands
-83.202371	42.083127	1	4	-0.8693662111642703	-0.2814719757260096	-0.3931944229778554	0.23154740934429432	-0.29172390151350625	Deciduous Forest
-83.213631	42.05653	1	5	-0.7077893578004607	-0.41294569755039906	-0.584786975051565	0.21489733801346758	0.03663075824850207	Developed, Low Intensity
-83.191528	42.055179	1	6	-1.012565333254419	-0.44581412800649645	NA	0.2648475520059478	0.8079221593337921	Open Water
-83.218887	42.055541	1	7	-0.6606787188431867	-0.9059721543918595	-0.43151289684921806	0.19824603480402805	-0.38464370985802976	Open Water
-83.197495	42.080116	1	8	-1.1037441703665054	-0.41294569755039906	-0.31655747523513	0.24819748067512104	-0.03405670911760173	Emergent Herbaceous Wetlands
-83.237221	41.993722	1	9	-0.6608098370972487	-0.4786825584625938	-0.9679720791989842	0.1649458921423746	-0.3903443120430522	Emergent Herbaceous Wetlands
-83.471714	41.76503	1	10	-0.3932185279240552	-0.5115509889186911	-1.121246157401331	0.1399707851461345	-0.3715323280264321	Open Water
-83.44041	45.07666	1	11	-0.6226962632247376	-0.05139296253332808	-0.048327975418695	-2.1850171625708543	-0.337898775882321	Developed, Medium Intensity
-82.60925	42.56947	1	12	-0.15494162412695947	-0.44581412800649645	0.06662762891228921	1.1389836881460278	-0.3718173564707498	Emergent Herbaceous Wetlands
-83.103333	42.288485	1	13	-0.43294628942479546	-0.3800772670943017	-0.8146980009966374	0.43134949719282784	-0.39690000363841565	Developed High Intensity
-83.233991	41.991156	1	14	-0.5516717081282475	-0.34720883663820434	-0.6997425793825492	0.1649458921423746	0.441658512608131	Emergent Herbaceous Wetlands
-83.195385	42.059332	1	15	-0.7679556102925371	-0.41294569755039906	-0.6614239227942904	0.24819748067512104	-0.29827960194321024	Developed, Open Space
-83.231309	41.991162	1	16	-0.7266307300651571	-0.41294569755039906	-0.584786975051565	0.1815959634732013	0.5080704853530036	Open Water
-83.1978	42.06787	1	17	-0.7999726987015885	-0.41294569755039906	-0.5464685011802023	0.24819748067512104	-0.3205119456398886	Developed, Open Space
-84.24409	46.19181	1	18	0.03579654923867025	-0.41294569755039906	NA	0.1399707851461345	-0.3914844322761873	Open Water
